sell 0.00 | sp 0.0000 | buy 0.03 | bp 0.0000
sell 0.03 | sp 0.2333 | buy -0.07 | bp 0.0000 

sell 0.03 | sp 0.2333 | buy -0.07 | bp 0.0000
sell -0.03 | sp -0.2333 | buy 0.10 | bp 0.0000 

sell -0.03 | sp -0.2333 | buy 0.10 | bp 0.0000
sell 0.00 | sp 0.0000 | buy -0.07 | bp 0.0000 

sell 0.50 | sp -0.4333 | buy -0.70 | bp -0.1333
sell -0.47 | sp 0.0000 | buy -0.37 | bp 0.0000 

sell -0.47 | sp 0.0000 | buy -0.37 | bp 0.0000
sell -0.13 | sp 0.0000 | buy 0.60 | bp 0.0000 

sell -0.13 | sp 0.0000 | buy 0.60 | bp 0.0000
sell 0.27 | sp 0.1000 | buy -0.57 | bp 0.0000 

sell 0.27 | sp 0.1000 | buy -0.57 | bp 0.0000
sell -0.23 | sp -0.1000 | buy 0.03 | bp 0.0000 

sell -0.23 | sp -0.1000 | buy 0.03 | bp 0.0000
sell 0.23 | sp 0.0000 | buy 0.07 | bp 0.0000 

sell 0.23 | sp 0.0000 | buy 0.07 | bp 0.0000
sell -0.27 | sp 0.0000 | buy -0.23 | bp 0.0000 

sell -0.27 | sp 0.0000 | buy -0.23 | bp 0.0000
sell 0.07 | sp 0.2333 | buy 0.00 | bp 0.0000 

sell 0.07 | sp 0.2333 | buy 0.00 | bp 0.0000
sell 0.07 | sp -0.2333 | buy 0.10 | bp 0.0000 

sell 0.07 | sp -0.2333 | buy 0.10 | bp 0.0000
sell 0.20 | sp 0.0000 | buy 8.57 | bp 1.0667 

sell 0.20 | sp 0.0000 | buy 8.57 | bp 1.0667
sell -0.27 | sp 0.0000 | buy -8.63 | bp -1.0667 

sell -0.27 | sp 0.0000 | buy -8.63 | bp -1.0667
sell 0.07 | sp 0.0000 | buy 0.07 | bp 0.0000 

sell 0.07 | sp 0.0000 | buy 0.07 | bp 0.0000
sell 0.00 | sp 0.0000 | buy -0.10 | bp 0.0000 

sell 0.00 | sp 0.0000 | buy -0.10 | bp 0.0000
sell -0.13 | sp 0.0000 | buy 0.13 | bp 0.0000 

sell -0.13 | sp 0.0000 | buy 0.13 | bp 0.0000
